SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10.0,1.0,INE765G01017,10.0,INE765G01017,BOTH,540716.0,ICICIGI,ICICI Lombard General Insurance Company Ltd,Active,B ,10.0,INE765G01017,General Insurance,Equity
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10.0,1.0,INE726G01019,10.0,INE726G01019,BOTH,540133.0,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Active,B ,10.0,INE726G01019,Life Insurance,Equity
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2.0,1.0,INE483B01026,2.0,INE483B01026,BOTH,521016.0,ICIL,INDO COUNT INDUSTRIES LTD.,Active,A ,2.0,INE483B01026,Textiles,Equity
ICRA,ICRA Limited,EQ,13-APR-2007,10.0,1.0,INE725G01011,10.0,INE725G01011,BOTH,532835.0,ICRA,ICRA LTD.,Active,A ,10.0,INE725G01011,Other Financial Services,Equity
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10.0,1.0,INE008A01015,10.0,INE008A01015,BOTH,500116.0,IDBI,IDBI BANK LTD.,Active,A ,10.0,INE008A01015,Banks,Equity
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10.0,1.0,INE669E01016,10.0,INE669E01016,BOTH,532822.0,IDEA,IDEA CELLULAR LTD.,Active,A ,10.0,INE669E01016,Telecom Services,Equity
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10.0,1.0,INE092T01019,10.0,INE092T01019,BOTH,539437.0,IDFCBANK,IDFC Bank Ltd,Active,A ,10.0,INE092T01019,Banks,Equity
IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,10.0,1.0,INE076C01018,10.0,INE076C01018,BOTH,507438.0,IFBAGRO,IFB AGRO INDUSTRIES LTD.,Active,T ,10.0,INE076C01018,Breweries &amp; Distilleries,Equity
IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10.0,1.0,INE559A01017,10.0,INE559A01017,BOTH,505726.0,IFBIND,IFB INDUSTRIES LTD.,Active,B ,10.0,INE559A01017,Household Appliances,Equity
IFCI,IFCI Limited,EQ,26-APR-1995,10.0,1.0,INE039A01010,10.0,INE039A01010,BOTH,500106.0,IFCI,IFCI LTD.,Active,A ,10.0,INE039A01010,Financial Institutions,Equity
IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,10.0,1.0,INE133Y01011,10.0,INE133Y01011,BOTH,540774.0,IFGLEXPOR,IFGL Refractories Ltd,Active,B ,10.0,INE133Y01011,,Equity
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10.0,1.0,INE188B01013,10.0,INE188B01013,BOTH,517380.0,IGARASHI,IGARASHI MOTORS INDIA LTD.,Active,B ,10.0,INE188B01013,Auto Parts &amp; Equipment,Equity
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2.0,1.0,INE203G01027,2.0,INE203G01027,BOTH,532514.0,IGL,INDRAPRASTHA GAS LTD.,Active,A ,2.0,INE203G01027,Utilities:Non-Elec.,Equity
