SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,INE346W01013,540692,APEX,Apex Frozen Foods Ltd,Active,B ,10.0,INE346W01013,Packaged Foods,Equity,BOTH
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,INE901L01018,533573,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,Active,A ,2.0,INE901L01018,Pharmaceuticals,Equity,BOTH
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,INE437A01024,508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A ,5.0,INE437A01024,Healthcare Facilities,Equity,BOTH
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,INE126J01016,531761,AMULEAS,AMULYA LEASING &amp; FINANCE LTD.,Active,XT,10.0,INE126J01016,Finance (including NBFCs),Equity,BOTH
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,INE438A01022,500877,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.0,INE438A01022,Auto Tyres &amp; Rubber Products,Equity,BOTH
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,INE266F01018,532475,APTECHT,APTECH LTD.,Active,B ,10.0,INE266F01018,IT Training Services,Equity,BOTH
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,INE877I01016,532994,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.,Active,B ,10.0,INE877I01016,Forest Products,Equity,BOTH
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2,INE731A01020,532212,ARCHIES,ARCHIES LTD.,Active,B ,2.0,INE731A01020,Gift Articles-Toys &amp; Cards ,Equity,BOTH
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,INE885A01032,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Auto Parts &amp; Equipment,Equity,BOTH
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,INE610C01014,526662,ARENTERP,RAJDARSHAN INDUSTRIES LTD.,Active,T ,10.0,INE610C01014,Construction &amp; Engineering,Equity,BOTH
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,INE298I01015,532935,ARIES,ARIES AGRO LTD.,Active,T ,10.0,INE298I01015,Fertilizers,Equity,BOTH
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,INE643K01018,506194,ASL,Arihant Superstructures Limited,Active,B ,10.0,INE643K01018,Realty,Equity,BOTH
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,INE109C01017,531179,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,T ,10.0,INE109C01017,Finance (including NBFCs),Equity,BOTH
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,INE210C01013,513729,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,Active,B ,10.0,INE210C01013,Construction Materials,Equity,BOTH
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10,INE570D01018,516064,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Plastic Products,Equity,BOTH
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2,1,INE968D01022,2,INE968D01022,506074,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Transportation - Logistics,Equity,BOTH
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10,INE034A01011,500101,ARVIND,ARVIND LTD.,Active,A ,10.0,INE034A01011,Textiles,Equity,BOTH
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10,INE034S01021,539301,ARVSMART,Arvind SmartSpaces Ltd,Active,B ,10.0,INE034S01021,Realty,Equity,BOTH
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,INE439A01020,515030,ASAHIINDIA,ASAHI INDIA GLASS LTD.,Active,B ,1.0,INE439A01020,Auto Parts &amp; Equipment,Equity,BOTH
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10,INE228I01012,532853,ASAHISONG,ASAHI SONGWON COLORS LTD.,Active,B ,10.0,INE228I01012,Specialty Chemicals,Equity,BOTH
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10,INE900C01027,520119,ASAL,AUTOMOTIVE STAMPINGS &amp; ASSEMBLIES LTD.,Active,B ,10.0,INE900C01027,Auto Parts &amp; Equipment,Equity,BOTH
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,INE348A01023,527001,ASHAPURMIN,ASHAPURA MINECHEM LTD.,Active,B ,2.0,INE348A01023,Mining,Equity,BOTH
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,INE365D01021,523716,ASHIANA,ASHIANA HOUSING LTD.-$,Active,B ,2.0,INE365D01021,Realty,Equity,BOTH
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10,INE440A01010,514286,ASHIMASYN,ASHIMA LTD.,Active,B ,10.0,INE440A01010,Textiles,Equity,BOTH
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,INE442H01029,533271,ASHOKA,ASHOKA BUILDCON LTD.,Active,B ,5.0,INE442H01029,Roads &amp; Highways,Equity,BOTH
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,INE208A01029,500477,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity,BOTH
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,INE363A01022,500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels,Equity,BOTH
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,INE021A01026,500820,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.0,INE021A01026,Furniture-Furnishing-Paints,Equity,BOTH
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10,INE022I01019,532888,ASIANTILES,ASIAN GRANITO INDIA LTD.,Active,B ,10.0,INE022I01019,Furniture-Furnishing-Paints,Equity,BOTH
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,INE563J01010,533138,ASTEC,ASTEC LIFESCIENCES LIMITED,Active,B ,10.0,INE563J01010,Agrochemicals,Equity,BOTH
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,INE006I01046,532830,ASTRAL,ASTRAL POLY TECHNIK LTD.,Active,B ,1.0,INE006I01046,Plastic Products,Equity,BOTH
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,INE386C01029,532493,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,Active,B ,2.0,INE386C01029,Defence,Equity,BOTH
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,INE203A01020,506820,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,Active,B ,2.0,INE203A01020,Pharmaceuticals,Equity,BOTH
ATLANTAA,ATLANTAA LIMITED,BE,25-SEP-2006,2,1,INE285H01022,2,INE285H01022,532759,ATLANTA,ATLANTA LTD.,Active,B ,2.0,INE285H01022,Construction &amp; Engineering,Equity,BOTH
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5,1,INE446A01025,5,INE446A01025,505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,Active,T ,5.0,INE446A01025,2/3 Wheelers,Equity,BOTH
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,INE100A01010,500027,ATUL,ATUL LTD.,Active,A ,10.0,INE100A01010,Agrochemicals,Equity,BOTH
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,INE951D01028,531795,ATULAUTO,ATUL AUTO LTD.-$,Active,B ,5.0,INE951D01028,2/3 Wheelers,Equity,BOTH
